epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2860.17,0.68732,0.4704,0.93515,0.99962,1,0.995,0.8201,0.69655,0.41065,0.8933,0.0011684,0.0011684,0.0011684
44,2907.99,0.68304,0.46615,0.93692,0.99618,0.99882,0.995,0.84563,0.60712,0.38922,0.87269,0.0011486,0.0011486,0.0011486
45,2956.46,0.71144,0.4821,0.95208,0.98476,1,0.99489,0.85228,0.59396,0.40952,0.86833,0.0011288,0.0011288,0.0011288
46,3004.46,0.66941,0.46838,0.92189,0.98545,0.98467,0.99454,0.8419,0.61692,0.42448,0.88097,0.001109,0.001109,0.001109
47,3054.11,0.69089,0.47729,0.9446,0.99441,1,0.995,0.85213,0.59271,0.41024,0.87846,0.0010892,0.0010892,0.0010892
48,3115.31,0.6592,0.44693,0.93382,0.98849,0.98718,0.99477,0.85688,0.56258,0.39416,0.8667,0.0010694,0.0010694,0.0010694
49,3180.08,0.70113,0.44797,0.92688,0.99618,0.99899,0.99466,0.83594,0.58997,0.38928,0.86594,0.0010496,0.0010496,0.0010496
50,3248.9,0.69798,0.47295,0.91468,0.99531,0.99617,0.995,0.84622,0.60732,0.37842,0.87101,0.0010298,0.0010298,0.0010298
51,3300.37,0.68882,0.45937,0.93789,0.99854,0.99617,0.995,0.87247,0.52036,0.36718,0.85217,0.00101,0.00101,0.00101
52,3350.69,0.67912,0.44184,0.93369,0.99216,1,0.99489,0.85842,0.56562,0.37393,0.86598,0.0009902,0.0009902,0.0009902
53,3402.58,0.6596,0.44237,0.9182,0.99159,1,0.99492,0.86885,0.54185,0.36955,0.84982,0.0009704,0.0009704,0.0009704
54,3455.55,0.61483,0.42264,0.91318,0.99874,0.99617,0.995,0.86881,0.53241,0.36767,0.85072,0.0009506,0.0009506,0.0009506
55,3507.29,0.59938,0.43431,0.89555,0.99838,1,0.995,0.88404,0.50936,0.34146,0.84261,0.0009308,0.0009308,0.0009308
56,3557.61,0.63734,0.41598,0.90994,0.99696,1,0.995,0.87468,0.50382,0.34768,0.84887,0.000911,0.000911,0.000911
57,3610.36,0.63789,0.4277,0.91357,0.99848,1,0.995,0.87339,0.52457,0.34376,0.85119,0.0008912,0.0008912,0.0008912
58,3665,0.62911,0.41756,0.9092,0.99834,1,0.995,0.88251,0.49736,0.32925,0.84291,0.0008714,0.0008714,0.0008714
59,3719.37,0.64685,0.43707,0.91187,0.9958,1,0.99496,0.87463,0.51806,0.33748,0.84561,0.0008516,0.0008516,0.0008516
60,3772.19,0.61618,0.40393,0.90732,0.99591,1,0.995,0.89652,0.46245,0.32533,0.83216,0.0008318,0.0008318,0.0008318
